Rapport de diffusion — 2026-07-03 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:22 BLOC_A_SERIE_DU_JOUR              0m10s      1m57s    +107s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
02:25:30 BLOC_A_SERIE_DU_JOUR              1m36s      1m34s      -2s  ✅  Jonas 3
02:27:04 BLOC_A_SERIE_DU_JOUR              1m57s      1m55s      -2s  ✅  Jonas 4
02:28:59 BLOC_A_SERIE_DU_JOUR              7m07s      7m04s      -3s  ✅  Josué 15
02:36:03 BLOC_A_SERIE_DU_JOUR              1m34s      1m31s      -3s  ✅  Josué 16
02:37:34 BLOC_A_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Josué 17
02:41:23 BLOC_A_SERIE_DU_JOUR              4m41s      4m38s      -3s  ✅  Josué 18
02:46:01 BLOC_A_SERIE_DU_JOUR              6m21s      6m24s      +3s  ✅  Josué 19
02:52:25 BLOC_A_SERIE_DU_JOUR              7m25s      7m22s      -3s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
02:59:47 BLOC_A_SERIE_DU_JOUR             10m35s     10m33s      -2s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
03:10:20 BLOC_A_SERIE_DU_JOUR             10m47s     10m44s      -3s  ✅  Abba, Singing a, I Will Sing - Ketu HF
03:21:04 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
03:27:08 BLOC_A_SERIE_DU_JOUR              6m15s      6m16s      +1s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
03:33:24 BLOC_A_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  The Lord on High is Mightier - Toronto HF
03:40:19 BLOC_A_SERIE_DU_JOUR              8m24s      8m27s      +3s  ✅  Bless Ye the Lord - PHF
03:48:46 BLOC_A_SERIE_DU_JOUR              8m47s      8m44s      -3s  ✅  1 Rois 7
03:57:30 BLOC_A_SERIE_DU_JOUR             12m29s     12m26s      -3s  ✅  1 Rois 8
04:09:56 BLOC_A_SERIE_DU_JOUR              4m47s      4m45s      -2s  ✅  1 Rois 9
04:14:41 BLOC_A_SERIE_DU_JOUR              4m43s      4m40s      -3s  ✅  1 Rois 10
04:19:21 BLOC_A_SERIE_DU_JOUR              7m33s      7m31s      -2s  ✅  1 Rois 11
04:26:52 BLOC_A_SERIE_DU_JOUR              6m03s      6m00s      -3s  ✅  1 Rois 12
04:32:52 BLOC_A_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant louange 02 voici notre selection de cantiques
04:33:00 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
04:36:21 BLOC_A_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
04:41:40 BLOC_A_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
04:47:57 BLOC_A_SERIE_DU_JOUR              8m31s      8m29s      -2s  ✅  Holy Holy - Abuja HF
04:56:26 BLOC_A_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
04:59:36 BLOC_A_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  I Will Call Upon The Lord
05:04:43 BLOC_A_SERIE_DU_JOUR              8m22s      8m20s      -2s  ✅  Yeshua Hamashiach - Calabar HF
05:13:03 BLOC_A_SERIE_DU_JOUR              7m37s      7m34s      -3s  ✅  Cantiques  Il a pris mes iniquités
05:20:37 BLOC_A_SERIE_DU_JOUR             11m54s     11m53s      -1s  ✅  Great & Marvelluos - Toronto HF
05:32:30 BLOC_A_SERIE_DU_JOUR              0m10s      0m11s      +1s  ✅  jingle avant message 01 voici le message du jour
05:32:41 BLOC_A_SERIE_DU_JOUR              4m15s      4m13s      -2s  ✅  Philippiens 1
05:36:54 BLOC_A_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Philippiens 2
05:41:19 BLOC_A_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Philippiens 3
05:44:42 BLOC_A_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Philippiens 4
05:48:18 BLOC_A_SERIE_DU_JOUR              1m49s      1m47s      -2s  ✅  1 Thessaloniciens 1
05:50:05 BLOC_A_SERIE_DU_JOUR              3m29s      3m33s      +4s  ✅  1 Thessaloniciens 2
05:53:38 BLOC_A_SERIE_DU_JOUR              7m20s      7m17s      -3s  ✅  The Glory -  PHF
06:00:55 BLOC_B_SERIE_DU_JOUR              0m08s      0m09s      +1s  ✅  jingle avant message 02 enseignement parole de dieu
06:01:04 BLOC_B_SERIE_DU_JOUR             22m50s     22m47s      -3s  ✅  pqe j3
06:23:51 BLOC_B_SERIE_DU_JOUR              0m06s      0m06s      +0s  ✅  jingle avant bible 03 ecoutez la voix de dieu
06:23:57 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  Tite 1
06:26:38 BLOC_B_SERIE_DU_JOUR              2m10s      2m08s      -2s  ✅  Tite 2
06:28:46 BLOC_B_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Tite 3
06:31:05 BLOC_B_SERIE_DU_JOUR              3m01s      2m58s      -3s  ✅  Proverbes 19
06:34:03 BLOC_B_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Proverbes 20
06:36:56 BLOC_B_SERIE_DU_JOUR              3m08s      3m06s      -2s  ✅  Proverbes 21
06:40:02 BLOC_B_SERIE_DU_JOUR              2m52s      2m49s      -3s  ✅  Proverbes 22
06:42:51 BLOC_B_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  Proverbes 23
06:46:04 BLOC_B_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  Proverbes 24
06:49:15 BLOC_B_SERIE_DU_JOUR              2m58s      2m55s      -3s  ✅  Proverbes 25
06:52:10 BLOC_B_SERIE_DU_JOUR              2m45s      2m42s      -3s  ✅  Proverbes 26
06:54:52 BLOC_B_SERIE_DU_JOUR              2m40s      2m38s      -2s  ✅  Proverbes 27
06:57:30 BLOC_B_SERIE_DU_JOUR              3m06s      3m03s      -3s  ✅  Proverbes 28
07:00:33 BLOC_B_SERIE_DU_JOUR              2m39s      2m37s      -2s  ✅  Proverbes 29
07:03:10 BLOC_B_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Proverbes 30
07:06:34 BLOC_B_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Proverbes 31
07:09:06 BLOC_B_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  3 Jean 1
07:11:08 BLOC_B_SERIE_DU_JOUR              4m36s      4m33s      -3s  ✅  Matthieu 8
07:15:41 BLOC_B_SERIE_DU_JOUR              5m20s      5m18s      -2s  ✅  Matthieu 9
07:20:59 BLOC_B_SERIE_DU_JOUR              0m05s      0m05s      +0s  ✅  jingle avant louange 04 suite de la selection musicale
07:21:04 BLOC_B_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
07:27:35 BLOC_B_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
07:34:30 BLOC_B_SERIE_DU_JOUR              9m14s      9m12s      -2s  ✅  A jamais, tu seras l Agneau de Dieu
07:43:42 BLOC_B_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
07:47:58 BLOC_B_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
07:52:16 BLOC_B_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  Good God - Asaba Fellowship
07:58:20 BLOC_B_SERIE_DU_JOUR              4m03s      4m00s      -3s  ✅  I Will Not Be Silent - Calabar HF
08:02:20 BLOC_B_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Great and Marvellous - Ketu HF
08:10:27 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Rejoice - PHF
08:16:27 BLOC_B_SERIE_DU_JOUR              8m18s      8m17s      -1s  ✅  Yahweh Is Mighty - SWBN TV
08:24:44 BLOC_A_SERIE_DU_JOUR             22m50s     22m48s      -2s  ✅  pqe j3
08:47:32 BLOC_B_SERIE_DU_JOUR              4m23s      4m20s      -3s  ✅  Ésaïe 29
08:51:52 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Ésaïe 30
08:57:52 BLOC_B_SERIE_DU_JOUR              2m03s      2m00s      -3s  ✅  Ésaïe 31
08:59:52 BLOC_B_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Ésaïe 32
09:02:39 BLOC_B_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  Ésaïe 33
09:06:45 BLOC_B_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  Ésaïe 34
09:09:40 BLOC_B_SERIE_DU_JOUR              1m58s      1m55s      -3s  ✅  Ésaïe 35
09:11:35 BLOC_B_SERIE_DU_JOUR              4m07s      4m04s      -3s  ✅  Ésaïe 36
09:15:39 BLOC_B_SERIE_DU_JOUR              0m04s      0m05s      +1s  ✅  jingle avant louange 03 continuons dans la louange
09:15:44 BLOC_B_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
09:21:33 BLOC_B_SERIE_DU_JOUR             10m38s     10m36s      -2s  ✅  Be Exalted - PHF
09:32:09 BLOC_B_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
09:41:04 BLOC_B_SERIE_DU_JOUR              3m10s      3m07s      -3s  ✅  la Parole
09:44:11 BLOC_B_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
09:48:57 BLOC_B_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
09:54:47 BLOC_B_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Yahweh Be Praised - Abuja HF
09:59:59 BLOC_B_SERIE_DU_JOUR              9m43s      9m41s      -2s  ✅  Thy Throne Oh Lord - Ketu HF
10:09:40 BLOC_B_SERIE_DU_JOUR              6m56s      6m53s      -3s  ✅  As We Worship In Ypur Presence
10:16:33 BLOC_B_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant bible 02 voici la lecture de la bible
10:16:41 BLOC_B_SERIE_DU_JOUR              0m33s      0m31s      -2s  ✅  Esther 10
10:17:12 BLOC_B_SERIE_DU_JOUR              0m50s      0m48s      -2s  ✅  Psaumes 110
10:18:00 BLOC_B_SERIE_DU_JOUR              1m06s      1m03s      -3s  ✅  Psaumes 111
10:19:03 BLOC_B_SERIE_DU_JOUR              1m09s      1m06s      -3s  ✅  Psaumes 112
10:20:09 BLOC_B_SERIE_DU_JOUR              0m51s      0m49s      -2s  ✅  Psaumes 113
10:20:58 BLOC_B_SERIE_DU_JOUR              0m45s      0m43s      -2s  ✅  Psaumes 114
10:21:41 BLOC_B_SERIE_DU_JOUR              1m49s      1m46s      -3s  ✅  Psaumes 115
10:23:27 BLOC_B_SERIE_DU_JOUR              1m49s      1m46s      -3s  ✅  Psaumes 116
10:25:13 BLOC_B_SERIE_DU_JOUR              0m16s      0m14s      -2s  ✅  Psaumes 117
10:25:27 BLOC_B_SERIE_DU_JOUR              2m49s      2m46s      -3s  ✅  Psaumes 118
10:28:13 BLOC_B_SERIE_DU_JOUR             14m57s     14m55s      -2s  ✅  Psaumes 119
10:43:08 BLOC_B_SERIE_DU_JOUR              0m37s      0m35s      -2s  ✅  Psaumes 120
10:43:43 BLOC_B_SERIE_DU_JOUR              0m41s      0m38s      -3s  ✅  Psaumes 121
10:44:21 BLOC_B_SERIE_DU_JOUR              0m48s      0m47s      -1s  ✅  Psaumes 122
10:45:08 BLOC_B_SERIE_DU_JOUR              0m31s      0m27s      -4s  ✅  Psaumes 123
10:45:35 BLOC_B_SERIE_DU_JOUR              0m42s      0m40s      -2s  ✅  Psaumes 124
10:46:15 BLOC_B_SERIE_DU_JOUR              0m41s      0m38s      -3s  ✅  Psaumes 125
10:46:53 BLOC_B_SERIE_DU_JOUR              0m39s      0m36s      -3s  ✅  Psaumes 126
10:47:29 BLOC_B_SERIE_DU_JOUR              0m41s      0m39s      -2s  ✅  Psaumes 127
10:48:08 BLOC_B_SERIE_DU_JOUR              0m35s      0m32s      -3s  ✅  Psaumes 128
10:48:40 BLOC_B_SERIE_DU_JOUR              0m44s      0m41s      -3s  ✅  Psaumes 129
10:49:21 BLOC_B_SERIE_DU_JOUR              0m48s      0m46s      -2s  ✅  Psaumes 130
10:50:07 BLOC_B_SERIE_DU_JOUR              0m25s      0m22s      -3s  ✅  Psaumes 131
10:50:29 BLOC_B_SERIE_DU_JOUR              1m40s      1m37s      -3s  ✅  Psaumes 132
10:52:06 BLOC_B_SERIE_DU_JOUR              0m27s      0m24s      -3s  ✅  Psaumes 133
10:52:30 BLOC_B_SERIE_DU_JOUR              0m20s      0m17s      -3s  ✅  Psaumes 134
10:52:47 BLOC_B_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  Psaumes 135
10:54:50 BLOC_B_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Psaumes 136
10:57:07 BLOC_B_SERIE_DU_JOUR              0m58s      0m55s      -3s  ✅  Psaumes 137
10:58:02 BLOC_B_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant louange 02 voici notre selection de cantiques
10:58:10 BLOC_B_SERIE_DU_JOUR              8m30s      8m28s      -2s  ✅  We Worship Adonai - PHF
11:06:38 BLOC_B_SERIE_DU_JOUR              5m28s      5m26s      -2s  ✅  même humilié
11:12:04 BLOC_B_SERIE_DU_JOUR              6m04s      6m01s      -3s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
11:18:05 BLOC_B_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Le Bien-Etre Universel
11:24:31 BLOC_B_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Forever You Reign - Abuja HF
11:30:17 BLOC_B_SERIE_DU_JOUR              6m59s      6m56s      -3s  ✅  Hosanna - Toronto HF
11:37:13 BLOC_B_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Satisfy My Soul - Calabar HF
11:43:12 BLOC_B_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
11:47:49 BLOC_B_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  Song Of Victory - Emmanuel Igunbor
11:51:52 BLOC_B_SERIE_DU_JOUR              7m09s      7m13s      +4s  ✅  There is A Mighty River Flowing - Ketu HF
11:59:05 BLOC_B_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  2 Corinthiens 4
12:02:26 BLOC_C_SERIE_DU_JOUR              0m08s      0m09s      +1s  ✅  jingle avant message 02 enseignement parole de dieu
12:02:35 BLOC_C_SERIE_DU_JOUR             22m50s     22m49s      -1s  ✅  pqe j3
12:25:24 BLOC_B_SERIE_DU_JOUR              0m08s      0m09s      +1s  ✅  jingle avant message 02 enseignement parole de dieu
12:25:33 BLOC_C_SERIE_DU_JOUR              1m40s      1m37s      -3s  ✅  1 Jean 1
12:27:10 BLOC_C_SERIE_DU_JOUR              4m39s      4m37s      -2s  ✅  1 Jean 2
12:31:47 BLOC_C_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  1 Jean 3
12:35:18 BLOC_C_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  1 Jean 4
12:38:32 BLOC_C_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  1 Jean 5
12:41:41 BLOC_C_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  1 Timothée 5
12:45:23 BLOC_C_SERIE_DU_JOUR              3m53s      3m51s      -2s  ✅  1 Timothée 6
12:49:14 BLOC_C_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Aggée 1
12:51:54 BLOC_C_SERIE_DU_JOUR              3m58s      3m55s      -3s  ✅  Aggée 2
12:55:49 BLOC_C_SERIE_DU_JOUR              2m59s      2m57s      -2s  ✅  2 Timothée 1
12:58:46 BLOC_C_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  2 Timothée 2
13:02:36 BLOC_C_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  2 Timothée 3
13:05:10 BLOC_C_SERIE_DU_JOUR              3m09s      3m06s      -3s  ✅  2 Timothée 4
13:08:16 BLOC_C_SERIE_DU_JOUR              5m36s      5m34s      -2s  ✅  Exode 3
13:13:50 BLOC_C_SERIE_DU_JOUR              6m31s      6m29s      -2s  ✅  Exode 4
13:20:19 BLOC_C_SERIE_DU_JOUR              4m25s      4m22s      -3s  ✅  Exode 5
13:24:41 BLOC_C_SERIE_DU_JOUR              0m04s      0m04s      +0s  ✅  jingle avant louange 03 continuons dans la louange
13:24:45 BLOC_C_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
13:34:13 BLOC_C_SERIE_DU_JOUR              7m51s      7m49s      -2s  ✅  There is no name  - Winnipeg Fellowship
13:42:02 BLOC_C_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
13:48:40 BLOC_C_SERIE_DU_JOUR             10m24s     10m21s      -3s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
13:59:01 BLOC_C_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
14:03:43 BLOC_C_SERIE_DU_JOUR              9m39s      9m37s      -2s  ✅  Psalm 93 - Port Harcourt HF
14:13:20 BLOC_C_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
14:18:10 BLOC_C_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  I Choose the Way of the Lord - Abuja HF
14:22:15 BLOC_C_SERIE_DU_JOUR              0m06s      0m06s      +0s  ✅  jingle avant bible 03 ecoutez la voix de dieu
14:22:21 BLOC_C_SERIE_DU_JOUR              2m25s      2m23s      -2s  ✅  Cantique des Cantiques 1
14:24:44 BLOC_C_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Cantique des Cantiques 2
14:27:13 BLOC_C_SERIE_DU_JOUR              1m53s      1m51s      -2s  ✅  Cantique des Cantiques 3
14:29:04 BLOC_C_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Cantique des Cantiques 4
14:31:51 BLOC_C_SERIE_DU_JOUR              2m54s      2m52s      -2s  ✅  Cantique des Cantiques 5
14:34:43 BLOC_C_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Cantique des Cantiques 6
14:36:46 BLOC_C_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Cantique des Cantiques 7
14:38:40 BLOC_C_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  Cantique des Cantiques 8
14:41:07 BLOC_C_SERIE_DU_JOUR              4m55s      4m52s      -3s  ✅  Néhémie 11
14:45:59 BLOC_C_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  Néhémie 12
14:52:25 BLOC_C_SERIE_DU_JOUR              0m06s      0m06s      +0s  ✅  jingle avant louange 01 place a la louange et adoration
14:52:31 BLOC_C_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  jai donné ma vie à jésus (1)
14:56:40 BLOC_C_SERIE_DU_JOUR              7m29s      7m26s      -3s  ✅  Hallelujah - PHF
15:04:06 BLOC_C_SERIE_DU_JOUR              6m09s      6m08s      -1s  ✅  Hymne des vainqueurs
15:10:14 BLOC_C_SERIE_DU_JOUR              5m02s      4m59s      -3s  ✅  A Song Of Love
15:15:13 BLOC_C_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
15:20:17 BLOC_C_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
15:29:38 BLOC_C_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  My God Is Good - Winnipeg Fellowship
15:36:44 BLOC_C_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
15:45:03 BLOC_C_SERIE_DU_JOUR              5m45s      5m47s      +2s  ✅  Ella Samuels - Oh Lord Our Maker
15:50:50 BLOC_C_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
15:53:27 BLOC_C_SERIE_DU_JOUR              3m24s      3m22s      -2s  ✅  Habacuc 2
15:56:49 BLOC_C_SERIE_DU_JOUR              3m11s      3m08s      -3s  ✅  Habacuc 3
15:59:57 BLOC_C_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Romains 10
16:03:01 BLOC_C_SERIE_DU_JOUR              5m37s      5m34s      -3s  ✅  Romains 11
16:08:35 BLOC_C_SERIE_DU_JOUR              3m06s      3m03s      -3s  ✅  Romains 12
16:11:38 BLOC_C_SERIE_DU_JOUR              2m36s      2m34s      -2s  ✅  Romains 13
16:14:12 BLOC_C_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Romains 14
16:17:35 BLOC_C_SERIE_DU_JOUR              5m12s      5m10s      -2s  ✅  Romains 15
16:22:45 BLOC_C_SERIE_DU_JOUR              3m44s      3m42s      -2s  ✅  Romains 16
16:26:27 BLOC_C_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Amos 1
16:29:04 BLOC_C_SERIE_DU_JOUR              2m30s      2m28s      -2s  ✅  Amos 2
16:31:32 BLOC_C_SERIE_DU_JOUR              2m19s      2m17s      -2s  ✅  Amos 3
16:33:49 BLOC_C_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant louange 02 voici notre selection de cantiques
16:33:57 BLOC_C_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
16:38:08 BLOC_C_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
16:43:14 BLOC_C_SERIE_DU_JOUR              7m19s      7m16s      -3s  ✅  You Have sworn By Your Holiness - Chidera Bisong
16:50:30 BLOC_C_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  There Is Forgiveness In Thee - SWBN TV
16:56:35 BLOC_C_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  You Are the Captain of the Host - Toronto HF
16:59:30 BLOC_C_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
17:05:15 BLOC_C_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  You're the Lamb (Abasiama Timothy)
17:12:21 BLOC_C_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
17:15:37 BLOC_C_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
17:22:10 BLOC_C_SERIE_DU_JOUR              6m30s      6m28s      -2s  ✅  Praise the Lord of Host - Toronto HF
17:28:38 BLOC_C_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
17:35:53 BLOC_C_SERIE_DU_JOUR              0m07s      0m07s      +0s  ✅  jingle avant bible 02 voici la lecture de la bible
17:36:00 BLOC_C_SERIE_DU_JOUR              4m27s      4m25s      -2s  ✅  Jude 1
17:40:25 BLOC_C_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
17:44:04 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Pierre 2
17:48:06 BLOC_C_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
17:51:20 BLOC_C_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  Job 1
17:54:58 BLOC_C_SERIE_DU_JOUR              0m05s      0m06s      +1s  ✅  jingle avant louange 04 suite de la selection musicale
17:55:04 BLOC_C_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  Praise the Lord All Ye Nations - Toronto HF
18:01:13 BLOC_D_SERIE_DU_JOUR              0m08s      0m09s      +1s  ✅  jingle avant message 02 enseignement parole de dieu
18:01:22 BLOC_D_SERIE_DU_JOUR             22m50s     22m47s      -3s  ✅  pqe j3
18:24:09 BLOC_D_SERIE_DU_JOUR              0m05s      0m05s      +0s  ✅  jingle avant bible 05 poursuivons notre lecture
18:24:14 BLOC_D_SERIE_DU_JOUR              1m30s      1m28s      -2s  ✅  Lévitique 12
